CPU,GPU,Memory,GPU_cores,inference_latency,accuracy,prediction_confidence
3.8,5.456542969,55.4,2,0.0003016,0.85,6.6313
1.2,5.456542969,55.4,2,8.42E-05,0.85,6.6313
0.6,5.456542969,55.4,2,0.000237465,0.85,6.6113
0.5,5.456542969,55.4,2,9.20E-05,0.85,6.6313
0.6,5.456542969,55.4,2,0.000252008,0.85,6.6313
3.1,5.456542969,55.4,2,0.00027132,0.85,6.6313
0.8,5.456542969,55.5,2,0.000202179,0.85,6.6313
0.5,5.456542969,55.5,2,8.27E-05,0.85,6.6313
0.6,5.456542969,55.4,2,0.000197887,0.85,6.6213
0.6,5.456542969,55.4,2,8.42E-05,0.85,6.6213
0.6,5.456542969,55.4,2,0.000195503,0.85,6.6413
0.5,5.456542969,55.4,2,8.25E-05,0.85,6.6413
0.4,5.456542969,55.4,2,0.000474453,0.85,6.6413
0.4,5.456542969,55.5,2,8.34E-05,0.85,6.6413
0.6,5.456542969,55.4,2,0.000377893,0.88,6.6313
0.6,5.456542969,55.4,2,8.63E-05,0.88,6.6313
0.4,5.456542969,55.4,2,0.000290394,0.88,6.6113
0.1,5.456542969,55.5,2,8.23E-05,0.88,6.6113
0.6,5.456542969,55.5,2,0.000387907,0.88,6.213
0.6,5.456542969,55.5,2,8.20E-05,0.88,6.213
0.3,6.05,50.1,4,0.002797365,0.88,6.1683
0.3,6.05,50.1,4,0.002797365,0.88,6.1683
0.2,6.05,50.2,4,0.001701355,0.88,6.164104586
0.2,6.05,50.2,4,0.001701355,0.88,6.164104586
1.9,6.05468,50.2,4,0.003079175,0.88,6.164104586
1.9,6.05468,50.2,4,0.003079175,0.88,6.164104586
0.3,6.05468,50.2,4,0.001758813,0.88,6.1751596
0.3,6.05468,50.2,4,0.001758813,0.88,6.1751596
0.4,6.05468,50.2,4,0.001704693,0.9,6.1751596
0.4,6.05468,50.2,4,0.001704693,0.9,6.250891775
0.3,6.0546875,50.2,4,0.00160718,0.9,6.250891775
0.3,6.0546875,50.2,4,0.00160718,0.9,6.250891775
0.3,6.0546875,50.2,4,0.000761271,0.9,6.174104
0.3,6.0546875,50.2,4,0.000761271,0.9,6.174104
0.2,6.0546875,50.2,4,0.001603842,0.9,6.145260513
0.2,6.0546875,50.2,4,0.001603842,0.9,6.145260513
0.4,6.0546875,50.2,4,0.001530409,0.9,6.300891177
0.4,6.0546875,50.2,4,0.001530409,0.9,6.300891177
0.9,6.054688,50.1,4,0.001405478,0.9,6.300891177
0.9,6.054688,50.1,4,0.001405478,0.9,6.300891177
8.9,6.054688,50.1,4,0.001522779,0.81,7.00526051
8.9,6.054688,50.1,4,0.001522779,0.81,7.00526051
0.4,8.49609375,54.6,4,0.004724264,0.81,6.859609375
0.3,8.49609375,54.7,4,0.000680447,0.81,6.570943336
0.4,8.49609375,54.7,4,0.000658989,0.81,6.869609375
0.3,8.49609375,54.7,4,0.000371148,0.81,6.859609375
0.3,8.49609375,54.7,4,0.000664473,0.81,6.859609375
0.4,8.49609375,54.7,4,0.00069952,0.81,6.869609375
0.4,8.49609375,54.7,4,0.000668049,0.81,6.869609375
0.4,8.49609375,54.7,4,0.00071907,0.81,6.869609375
0.3,8.49609375,54.7,4,0.000653982,0.81,6.859609375
1.6,8.49609375,54.7,4,0.000703096,0.92,6.9896375
0.3,8.49609375,54.7,4,0.000657558,0.92,6.859609375
2.8,8.49609375,54.7,4,0.000657797,0.92,7.109609375
0.6,8.49609375,54.7,4,0.000689507,0.92,6.889609375
0.6,8.49609375,54.7,4,0.000689507,0.92,7.389722656
0.4,8.49609375,54.7,4,0.000648499,0.92,6.869609375
3,8.49609375,54.7,4,0.000649691,0.92,7.129609375
2.3,8.49609375,55,4,0.000667572,0.92,7.089609375
0.3,9.033203125,53.4,4,0.000326633,0.92,6.783320313
1.1,9.033203125,53.4,4,0.001068354,0.92,6.863320313
1.4,9.033203125,53.4,4,0.001009941,0.92,6.893320313
